id,state.abbrev,station,city,county,zipcode,latitude,longitude
4869,MO,CARTER COUNTY SHERIFF'S OFFICE,Ardmore,Carter County,73401,34.17053,-97.128619
4870,MO,CARTER COUNTY SHERIFFS OFFICE,Ardmore,Carter County,73401,34.17053,-97.128619
4871,MO,CARTERVILLE POLICE DEPT,Carterville,Williamson County,62918,37.761682,-89.078141
4872,MO,CARTHAGE POLICE DEPT,Carthage,Jasper County,64836,37.175878,-94.313399
4873,MO,CARUTHERSVILLE POLICE DEPT,Caruthersville,Pemiscot County,63830,36.18335,-89.661965
4874,MO,CASS COUNTY SHERIFF DEPT,Cassopolis,Cass County,49031,41.919387,-86.018774
4875,MO,CASS COUNTY SHERIFFS OFFICE,Harrisonville,Cass County,64701,38.649177,-94.36831
4876,MO,CEDAR COUNTY SHERIFF DEPT,Tipton,Cedar County,52772,41.761755,-91.121922
4877,MO,CEDAR COUNTY SHERIFF OFFICE,Tipton,Cedar County,52772,41.761755,-91.121922
4878,MO,CENTRALIA POLICE DEPT,Centralia,Lewis County,98531,46.718976,-122.954135
4879,MO,CHRISTIAN COUNTY SHERIFF DEPT,Ozark,Christian County,65721,37.019601,-93.205508
4880,MO,CLARENCE POLICE DEPT,Clarence,Erie County,14031,42.973662,-78.62334
4881,MO,CLARKTON POLICE DEPT,Clarkston,Asotin County,99403,46.413522,-117.044328
4882,MO,CLAY COUNTY RANGER DIVISION,Smithville,Clay County,64089,39.411549,-94.523591
4883,MO,CLAY COUNTY SHERIFF DEPT,Liberty,Clay County,64068,39.245256,-94.419524
4884,MO,CLAY COUNTY SHERIFFS DEPT,Green Cove Springs,Clay County,32043,30.003653,-81.687131
4885,MO,CLAYTON POLICE DEPT,Clayton,Johnston County,27520,35.650576,-78.458326
4886,MO,CLEVELAND POLICE DEPT,Cleveland,Cuyahoga County,44105,41.445642,-81.594092
4887,MO,CLEVER POLICE DEPT,Clever,Christian County,65631,37.027786,-93.470397
4888,MO,CLINTON COUNTY SHERIFF DEPT,Plattsburgh,Clinton County,12901,44.72022,-73.467233
4889,MO,COLE COUNTY SHERIFF DEPT,Jefferson City,Cole County,65101,38.573887,-92.169491
4890,MO,COLUMBIA POLICE DEPT,Columbia,Richland County,29201,34.00302,-81.040398
4891,MO,CONWAY POLICE DEPT,Conway,Faulkner County,72032,35.088154,-92.439352
4892,MO,COOPER COUNTY SHERIFF DEPT,Boonville,Cooper County,65233,38.977432,-92.743747
4893,MO,COOPER COUNTY SHERIFF OFFICE,Boonville,Cooper County,65233,38.977432,-92.743747
4894,MO,COTTLEVILLE POLICE DEPT,Saint Charles,St. Charles County,63304,38.74833,-90.652182
4895,MO,CRANE POLICE DEPT,Crane,Crane County,79731,31.397343,-102.350437
4896,MO,CRAWFORD COUNTY SHERIFF DEPT,Bucyrus,Crawford County,44820,40.814776,-82.939148
4897,MO,CRAWFORD COUNTY SHERIFF OFFICE,Bucyrus,Crawford County,44820,40.814776,-82.939148
4898,MO,CROCKER POLICE DEPT,Crocker,Pulaski County,65452,37.948726,-92.26399
